Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Calculated_Revenue,Total_Cost,Profit,Profit_Margin,Month,Quarter,,,Base_Margin_Pct,Discount_Issue_Flag
1052,2023-02-03,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,4377.0636,2749.5,1627.5636,0.3718391481,February,2023Q1,,South,42.84%,NO
1093,2023-04-21,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,63688.8272,64878.63,-1189.8028,-0.0186814996,April,2023Q2,Dynamic Revenue,13894660.28,9.34%,YES
1015,2023-09-21,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,8913.6,7846.8,1066.8,0.1196822833,September,2023Q3,Dynamic Profit,-868169.9805,29.57%,NO
1072,2023-08-24,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,170757.405,168871.17,1886.235,0.01104628523,August,2023Q3,Unprofitable Sales,131,3.08%,NO
1061,2023-03-24,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,8284.8116,8285.81,-0.9984,-0.0001205096806,March,2023Q1,,,7.99%,YES
1021,2023-02-11,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,27972.5728,28825.28,-852.7072,-0.03048368865,February,2023Q1,,,18.59%,YES
1083,2023-04-11,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,65444.8046,69855.49,-4410.6854,-0.06739550109,April,2023Q2,,,8.20%,YES
1087,2023-01-06,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,160489.032,170315.46,-9826.428,-0.06122803457,January,2023Q1,,,6.61%,YES
1075,2023-06-29,David,South,4223.39,30,Furniture,738.06,1095.45,New,0.05,Bank Transfer,Online,South-David,31220.325,22141.8,9078.525,0.2907889332,June,2023Q2,,,32.62%,NO
1075,2023-10-09,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,42005.4444,40110.3,1895.1444,0.04511663731,October,2023Q4,,,16.93%,NO
1088,2023-11-16,Eve,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,25201.176,31721.43,-6520.254,-0.2587281641,November,2023Q4,,,3.08%,YES
1100,2023-08-14,Bob,West,2198.74,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,West-Bob,44997.1264,47334.83,-2337.7036,-0.05195228645,August,2023Q3,,,3.22%,YES
1024,2023-11-11,Eve,West,6607.8,21,Food,622.01,641.09,Returning,0,Bank Transfer,Retail,West-Eve,13462.89,13062.21,400.68,0.02976181191,November,2023Q4,,,2.98%,NO
1003,2023-12-31,Alice,South,4775.59,30,Furniture,4190.28,4270.65,New,0.2,Cash,Online,South-Alice,102495.6,125708.4,-23212.8,-0.2264760634,December,2023Q4,,,1.88%,YES
1022,2023-08-17,Charlie,South,8813.55,21,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail,South-Charlie,42785.736,53281.2,-10495.464,-0.2453028738,August,2023Q3,,,11.58%,YES
1053,2023-10-16,Bob,North,2235.83,48,Furniture,121.19,487.65,New,0.18,Cash,Retail,North-Bob,19193.904,5817.12,13376.784,0.6969287749,October,2023Q4,,,75.15%,NO
1002,2023-05-30,David,North,6810.35,17,Furniture,4024.76,4420.15,Returning,0.04,Cash,Online,North-David,72136.848,68420.92,3715.928,0.05151220358,May,2023Q2,,,8.95%,NO
1088,2023-10-04,Bob,East,6116.75,40,Electronics,4904.93,5034.35,New,0.1,Credit Card,Retail,East-Bob,181236.6,196197.2,-14960.6,-0.08254734419,October,2023Q4,,,2.57%,YES
1030,2023-07-17,David,West,3023.48,19,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online,West-David,45121.6332,57937.27,-12815.6368,-0.2840242228,July,2023Q3,,,4.98%,YES
1038,2023-03-11,Bob,South,1452.35,15,Clothing,2543.36,2790.1,Returning,0.07,Cash,Online,South-Bob,38921.895,38150.4,771.495,0.01982161968,March,2023Q1,,,8.84%,NO
1002,2023-04-22,Eve,North,6551.23,9,Electronics,4398.16,4439.12,New,0.18,Bank Transfer,Online,North-Eve,32760.7056,39583.44,-6822.7344,-0.2082596902,April,2023Q2,,,0.92%,YES
1064,2023-01-04,Eve,East,7412.11,10,Electronics,4764.96,5074.42,New,0.12,Cash,Online,East-Eve,44654.896,47649.6,-2994.704,-0.06706328462,January,2023Q1,,,6.10%,YES
1060,2023-12-16,Eve,East,3224.71,44,Clothing,3784.96,4276.99,New,0.06,Bank Transfer,Retail,East-Eve,176896.3064,166538.24,10358.0664,0.05855445267,December,2023Q4,,,11.50%,NO
1021,2023-11-27,Alice,South,6483.84,31,Furniture,2254.99,2441.79,Returning,0.24,Bank Transfer,Online,South-Alice,57528.5724,69904.69,-12376.1176,-0.2151299273,November,2023Q4,,,7.65%,YES
